site_id,site_code,site_name,country_code,country,latitude,longitude,source_system,source_network,source_files,source_count,coordinate_details,review_reason
AU-DaP,DaP,Daly River Pasture,AU,Australia,-14.0633,131.3181,explorer_accessible,Vegetation metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/unique_flux_sites.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,11,"max_distance_km=10.64; (-14.0633, 131.3181) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/unique_flux_sites.csv, assets/shuttle_snapshot.csv, assets/siteinfo_fluxnet2015.csv | (-14.1331, 131.3856) <= external_site_lists/Towers_Stoy.csv, external_site_lists/originals/Towers_Stoy.csv",materially conflicting coordinates were present across contributing records
AU-How,How,Howard Springs,AU,Australia,-12.4952,131.15005,explorer_accessible,Vegetation metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/unique_flux_sites.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,12,"max_distance_km=49.89; (-12.4943, 131.152) <= external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1 | (-12.4943, 131.1523) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/unique_flux_sites.csv, assets/siteinfo_fluxnet2015.csv | (-12.4952, 131.15005) <= assets/shuttle_snapshot.csv | (-12.943, 131.1523) <= external_site_lists/Towers_Stoy.csv, external_site_lists/originals/Towers_Stoy.csv",materially conflicting coordinates were present across contributing records
AU-Sil,Sil,Silver Plains,AU,Australia,-42.090556,147.0875,explorer_accessible,Site metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/sites_not_in_explorer.csv; external_site_lists/unique_flux_sites.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv,9,"max_distance_km=7.50; (-42.090556, 147.087) <= external_site_lists/Towers_Stoy.csv, external_site_lists/originals/Towers_Stoy.csv | (-42.090556, 147.0875) <= assets/shuttle_snapshot.csv | (-42.15, 147.13) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/sites_not_in_explorer.csv, external_site_lists/unique_flux_sites.csv",materially conflicting coordinates were present across contributing records
BR-SP1,SP1,Southern Pantanal Wetland,BR,Brazil,-19.565,-57.018,explorer_repo_metadata,Vegetation metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/sites_not_in_explorer.csv; external_site_lists/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,9,"max_distance_km=1001.33; (-19.565, -57.018) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/sites_not_in_explorer.csv, external_site_lists/unique_flux_sites.csv, assets/ameriflux_site_info.csv | (-21.6195, -47.6499) <= external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1",materially conflicting coordinates were present across contributing records
CA-ER1,ER1,Elora Research Station,CA,Canada,43.6405,-80.4123,explorer_repo_metadata,Vegetation metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/sites_not_in_explorer.csv; external_site_lists/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,11,"max_distance_km=0.21; (43.6405, -80.4123) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/Towers_Stoy.csv, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/originals/Towers_Stoy.csv, external_site_lists/unique_flux_sites.csv, assets/ameriflux_site_info.csv | (43.6419, -80.414) <= external_site_lists/Towers_Stoy.csv, external_site_lists/originals/Towers_Stoy.csv, external_site_lists/sites_not_in_explorer.csv, external_site_lists/unique_flux_sites.csv, assets/ameriflux_site_info.csv",conflicting FLUXNET-style site_ids contributed to the merged site
CH-Oe3,Oe3,Oensingen extensive grassland,CH,Switzerland,47.1712,7.436,explorer_accessible,European Fluxes Database,external_site_lists/EFDC_SitesList.csv; external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/icos_direct_fluxnet.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv,11,"max_distance_km=25.74; (47.1712, 7.436) <= assets/icos_direct_fluxnet.csv, assets/shuttle_snapshot.csv | (47.285418, 7.732438) <= external_site_lists/EFDC_SitesList.csv, external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/unique_flux_sites.csv, assets/efd_curated_sites_snapshot.csv, assets/efd_sites_snapshot.csv",materially conflicting coordinates were present across contributing records
CN-Ash,Ash,Ailaoshan,CN,China,24.53806,101.02917,explorer_accessible,Site metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/sites_not_in_explorer.csv; external_site_lists/unique_flux_sites.csv; assets/icos_direct_fluxnet.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv,9,"max_distance_km=1.37; (24.533333, 101.016667) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/sites_not_in_explorer.csv, external_site_lists/unique_flux_sites.csv | (24.53806, 101.02917) <= assets/icos_direct_fluxnet.csv, assets/shuttle_snapshot.csv",conflicting FLUXNET-style site_ids contributed to the merged site
CN-Cha,Cha,Changsha(Paddy Rice),CN,China,42.4025,128.0958,explorer_repo_metadata,Vegetation metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/explorerSiteList_032026.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/unique_flux_sites.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,11,"max_distance_km=2030.90; (28.580417, 113.32775) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/unique_flux_sites.csv | (35.233333, 107.683333) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1 | (41.4025, 128.095833) <= external_site_lists/Towers_Stoy.csv, external_site_lists/originals/Towers_Stoy.csv | (42.4025, 128.0958) <= assets/siteinfo_fluxnet2015.csv | (42.4025, 128.095833) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1 | (42.4025, 128.096) <= external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1",materially conflicting coordinates were present across contributing records
CN-Dam,Dam,Daman (Paddy Rice),CN,China,41.643944,110.328389,external_docs,Site metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/sites_not_in_explorer.csv; external_site_lists/unique_flux_sites.csv; assets/site_name_metadata.csv,6,"max_distance_km=899.38; (38.855556, 100.372278) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/sites_not_in_explorer.csv, external_site_lists/unique_flux_sites.csv | (41.643944, 110.328389) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1",materially conflicting coordinates were present across contributing records
CN-Do1,Do1,Dongtan 1 (CM1),CN,China,31.516667,121.960717,external_docs,Site metadata,external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1; external_site_lists/Towers_Stoy.csv; external_site_lists/allSites.xlsx#Sheet1; external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1; external_site_lists/originals/Towers_Stoy.csv; external_site_lists/sites_not_in_explorer.csv; external_site_lists/unique_flux_sites.csv; assets/site_name_metadata.csv,9,"max_distance_km=9.32; (31.516667, 121.960717) <= external_site_lists/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/allSites.xlsx#Sheet1, external_site_lists/originals/FluxSite_List_Pingyu.xlsx#Sheet1, external_site_lists/sites_not_in_explorer.csv, external_site_lists/unique_flux_sites.csv | (31.5167, 121.961) <= external_site_lists/LaThuile_SiteLatLonClimate.xlsx#Sheet1 | (31.5847, 121.9035) <= external_site_lists/Towers_Stoy.csv, external_site_lists/originals/Towers_Stoy.csv",materially conflicting coordinates were present across contributing records
