site_id,data_product,data_policy,citation_doi,citation_url,citation_text,citation_source,citation_source_url
AR-Bal,BASE-BADM,CCBY4.0,10.17190/AMF/2315764,https://doi.org/10.17190/AMF/2315764,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-Bal,BASE-BADM,LEGACY,10.17190/AMF/2315764,https://doi.org/10.17190/AMF/2315764,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-Bal,FLUXNET,CCBY4.0,10.17190/AMF/2571144,https://doi.org/10.17190/AMF/2571144,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-CCa,BASE-BADM,CCBY4.0,10.17190/AMF/1880910,https://doi.org/10.17190/AMF/1880910,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-CCa,BASE-BADM,LEGACY,10.17190/AMF/1880910,https://doi.org/10.17190/AMF/1880910,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-CCa,FLUXNET,CCBY4.0,10.17190/AMF/2571134,https://doi.org/10.17190/AMF/2571134,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-CCg,BASE-BADM,CCBY4.0,10.17190/AMF/1865474,https://doi.org/10.17190/AMF/1865474,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-CCg,BASE-BADM,LEGACY,10.17190/AMF/1865474,https://doi.org/10.17190/AMF/1865474,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-CCg,FLUXNET,CCBY4.0,10.17190/AMF/2469434,https://doi.org/10.17190/AMF/2469434,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-Cel,BASE-BADM,CCBY4.0,10.17190/AMF/2204054,https://doi.org/10.17190/AMF/2204054,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-Cel,BASE-BADM,LEGACY,10.17190/AMF/2204054,https://doi.org/10.17190/AMF/2204054,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-Cel,FLUXNET,CCBY4.0,,,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-Rom,BASE-BADM,CCBY4.0,10.17190/AMF/2315765,https://doi.org/10.17190/AMF/2315765,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-Rom,BASE-BADM,LEGACY,10.17190/AMF/2315765,https://doi.org/10.17190/AMF/2315765,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-Rom,FLUXNET,CCBY4.0,,,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-SLu,FLUXNET2015,CCBY4.0,10.18140/FLX/1440191,https://doi.org/10.18140/FLX/1440191,,FLUXNET2015 data-citation page,https://fluxnet.org/sites/siteinfo/AR-SLu
AR-TF1,BASE-BADM,CCBY4.0,10.17190/AMF/1543389,https://doi.org/10.17190/AMF/1543389,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-TF1,BASE-BADM,LEGACY,10.17190/AMF/1543389,https://doi.org/10.17190/AMF/1543389,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-TF1,FLUXNET,CCBY4.0,10.17190/AMF/1818370,https://doi.org/10.17190/AMF/1818370,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-TF2,BASE-BADM,CCBY4.0,10.17190/AMF/1543388,https://doi.org/10.17190/AMF/1543388,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-TF2,BASE-BADM,LEGACY,10.17190/AMF/1543388,https://doi.org/10.17190/AMF/1543388,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-TF2,FLUXNET,CCBY4.0,10.17190/AMF/2571120,https://doi.org/10.17190/AMF/2571120,,AmeriFlux V2 site_info_display API,https://amfcdn.lbl.gov/api/v2/site_info_display/AmeriFlux
AR-Vir,FLUXNET2015,CCBY4.0,10.18140/FLX/1440192,https://doi.org/10.18140/FLX/1440192,,FLUXNET2015 data-citation page,https://fluxnet.org/sites/siteinfo/AR-Vir
AT-Neu,FLUXNET2015,CCBY4.0,10.18140/FLX/1440121,https://doi.org/10.18140/FLX/1440121,,FLUXNET2015 data-citation page,https://fluxnet.org/sites/siteinfo/AT-Neu
AU-Ade,FLUXNET2015,CCBY4.0,10.18140/FLX/1440193,https://doi.org/10.18140/FLX/1440193,,FLUXNET2015 data-citation page,https://fluxnet.org/sites/siteinfo/AU-Ade
AU-ASM,FLUXNET2015,CCBY4.0,10.18140/FLX/1440194,https://doi.org/10.18140/FLX/1440194,,FLUXNET2015 data-citation page,https://fluxnet.org/sites/siteinfo/AU-ASM
AU-Cpr,FLUXNET2015,CCBY4.0,10.18140/FLX/1440195,https://doi.org/10.18140/FLX/1440195,,FLUXNET2015 data-citation page,https://fluxnet.org/sites/siteinfo/AU-Cpr
AU-Cum,FLUXNET2015,CCBY4.0,10.18140/FLX/1440196,https://doi.org/10.18140/FLX/1440196,,FLUXNET2015 data-citation page,https://fluxnet.org/sites/siteinfo/AU-Cum
